模块,任务ID,功能模块/任务名称,需求与业务逻辑说明,技术实现建议/细节,优先级
基础环境,INF-01,前后端项目初始化,"前端纯文本交互界面，后端处理高并发AI调用与状态机。","前端：Vue 3 / React；后端：Python (FastAPI)；AI：DeepSeek-V3/GPT-4o。",P0
基础环境,INF-02,WebSocket 通信网关搭建,"实现前后端长连接，支持服务端主动推送消息给客户端，替代HTTP轮询。","使用 FastAPI WebSocket，定义统一的 JSON Payload (type 和 data)，处理连接与断开异常。",P0
核心数据结构,DAT-01,玩家实体类定义 (Player),"包含座位号、身份、存活状态等基础属性。区别人类玩家和AI玩家。","采用面向对象(OOP)，基类 Player。子类 HumanPlayer 绑定 WS 连接与 asyncio.Future 锁；子类 AIPlayer 绑定性格与私有记忆。",P0
核心数据结构,DAT-02,游戏上下文设计 (GameContext),"记录天数、当前阶段、玩家字典、公共聊天记录、私有视野和今晚死亡名单。","必须设计“视野隔离(Viewpoint Masking)”功能，确保传给大模型的上下文中绝不包含未公开的身份信息。",P0
通信协议,WS-01,服务端推送协议 (S2C),"向前端广播系统消息、聊天更新、AI思考状态、要求人类输入、游戏结束等。","消息类型：SYSTEM_MSG, CHAT_UPDATE, AI_THINKING, REQUIRE_INPUT, GAME_OVER。",P0
通信协议,WS-02,客户端提交协议 (C2S),"接收人类玩家提交的动作（发言文本、杀人/验人/投票目标等）。","消息类型：SUBMIT_ACTION，后端收到后用于解锁 asyncio.Future 阻塞。",P0
游戏引擎-主流程,ENG-01,状态机框架搭建,"控制游戏从初始化->夜晚->白天->投票->结束的完整循环，支持异步阻塞。","封装一个 async run_loop()。轮到人类时使用 asyncio.wait_for 和 Future 锁死等；轮到AI时使用 await 并发调用 API。",P0
游戏引擎-主流程,ENG-02,游戏大厅与初始化 (INIT),"秒开局，洗牌并随机分配1~9号座位身份给1真人和8AI。","重置所有状态，下发人类玩家的座位号和真实身份牌，生成AI的初始人设。",P0
游戏引擎-主流程,ENG-03,胜负实时校验 (CHECK_WIN),"任何导致玩家死亡的动作生效后，立即检查是否达成屠边局或好人胜利。","抽出独立的检查函数，若满足条件立马跳出当前循环，流转至 GAME_OVER 状态。",P0
游戏引擎-夜晚,ENG-N-01,狼人行动 (WOLF_ACTION),"存活狼人选择击杀目标。处理多狼并发意见冲突。","若真人是狼，以真人目标为准；若全AI，指定一名Alpha狼决策。更新 killed_tonight 列表。",P0
游戏引擎-夜晚,ENG-N-02,预言家行动 (SEER_ACTION),"只能查验非自己的存活玩家，返回好人或狼人。","将查验结果写入该玩家的 private_memory 中，不公开。",P0
游戏引擎-夜晚,ENG-N-03,女巫行动 (WITCH_ACTION),"女巫全程不可自救，每晚只能用一瓶药。知道死者是谁。","判断女巫解药/毒药状态。如果用毒，往 killed_tonight 追加；如果救人，从列表移除。",P0
游戏引擎-夜晚,ENG-N-04,猎人开枪拦截 (HUNTER_SHOOTING),"如果有带枪猎人死亡（且非毒死），触发猎人开枪状态。","独立状态机节点。被毒死直接剥夺开枪权；否则等待猎人选定目标，结算死亡并立即进行 CHECK_WIN。",P1
游戏引擎-白天,ENG-D-01,宣布死讯与遗言,"公布昨夜死亡名单。仅首夜死者和被放逐者有遗言。","按需触发 DEAD_LAST_WORDS 状态，流程复用正常的发言逻辑。",P0
游戏引擎-白天,ENG-D-02,依次发言机制 (DAY_SPEAKING),"从死者左手边顺时针依次发言，无抢麦机制。处理人类等待与AI思考UI。","核心难点。人类发言设60秒超时兜底（代发“过”）；AI发言时前端必须展示“思考中...”缓冲动画。",P0
游戏引擎-白天,ENG-D-03,投票放逐 (VOTING),"所有存活玩家选定1名目标或弃票。处理同票情况。","向8个存活AI并发请求投票。同票直接判定为“无人出局”以简化逻辑。",P0
AI 大模型,LLM-01,System Prompt 组装与调优,"赋予AI当前座位、身份、性格、场上局势、历史发言与私有记忆。","严格约束AI发言字数（50-150字），且绝对禁止打破第四面墙（如提到JSON、语言模型等）。",P0
AI 大模型,LLM-02,结构化输出约束 (JSON Mode),"强制AI输出 JSON 格式，包含 inner_thought (内心推理) 和 speech_text/vote_target (实际动作)。","调用大模型API时强制带上 response_format={type: json_object}，结合 Pydantic 校验结果，防止游戏崩溃。",P0
AI 大模型,LLM-03,容错与兜底机制 (Fallback),"处理大模型超时、输出JSON损坏、或出现幻觉（如杀已死的人）。","超时/格式化失败最多重试2次。2次失败则系统代为输出默认操作（过/弃票）。校验目标合法性，非法则回退。",P0
前端 UI / UX,UI-01,玩家列表状态区 (Player List),"展示1-9号座位，存活/死亡(墓碑)状态，标注人类玩家及身份，展示AI思考动画。","UI需轻量。根据后端推的 SYSTEM_MSG / AI_THINKING 实时更新 DOM 状态。",P0
前端 UI / UX,UI-02,全局日志区 (Chat History),"类似聊天窗口，滚动展示系统播报、私人信息、玩家发言。","使用不同颜色区分消息类型（系统灰、私信蓝、发言黑白）。",P0
前端 UI / UX,UI-03,动态操作面板 (Action Panel),"底部区域，根据当前状态动态切换为：等待中、数字投票面板(附带女巫药剂)、文字输入框。","当收到 REQUIRE_INPUT 时解锁对应面板；动作提交 (SUBMIT_ACTION) 后立即重新锁定并显示“等待中...”。",P0
